"filename" "tajima_d" "missing_data" "missing_type" "vcf_source" "max_pi_vcftools"
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_300.vcf.Tajima.D" -1.46447 0.97 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3000.vcf.Tajima.D" -1.53496 0.7 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3100.vcf.Tajima.D" -1.61218 0.69 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3200.vcf.Tajima.D" -1.5811 0.68 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3300.vcf.Tajima.D" -1.55012 0.67 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3400.vcf.Tajima.D" -1.6671 0.66 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3500.vcf.Tajima.D" -1.59188 0.65 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3600.vcf.Tajima.D" -1.63175 0.64 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3700.vcf.Tajima.D" -1.62299 0.63 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3800.vcf.Tajima.D" -1.49912 0.62 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3900.vcf.Tajima.D" -1.63481 0.61 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_400.vcf.Tajima.D" -1.65705 0.96 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4000.vcf.Tajima.D" -1.63377 0.6 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4100.vcf.Tajima.D" -1.54022 0.59 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4200.vcf.Tajima.D" -1.55453 0.58 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4300.vcf.Tajima.D" -1.53362 0.57 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4400.vcf.Tajima.D" -1.60372 0.56 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4500.vcf.Tajima.D" -1.61358 0.55 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4600.vcf.Tajima.D" -1.47108 0.54 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4700.vcf.Tajima.D" -1.60745 0.53 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4800.vcf.Tajima.D" -1.59291 0.52 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4900.vcf.Tajima.D" -1.63982 0.51 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_4900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_500.vcf.Tajima.D" -1.50013 0.95 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5000.vcf.Tajima.D" -1.54328 0.5 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5100.vcf.Tajima.D" -1.55198 0.49 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5200.vcf.Tajima.D" -1.52812 0.48 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5300.vcf.Tajima.D" -1.63114 0.47 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5400.vcf.Tajima.D" -1.59048 0.46 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5500.vcf.Tajima.D" -1.60056 0.45 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5600.vcf.Tajima.D" -1.54934 0.44 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5700.vcf.Tajima.D" -1.57983 0.43 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5800.vcf.Tajima.D" -1.55467 0.42 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5900.vcf.Tajima.D" -1.54126 0.41 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_5900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_600.vcf.Tajima.D" -1.57118 0.94 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6000.vcf.Tajima.D" -1.58067 0.4 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6100.vcf.Tajima.D" -1.64903 0.39 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6200.vcf.Tajima.D" -1.60333 0.38 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6300.vcf.Tajima.D" -1.59956 0.37 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6400.vcf.Tajima.D" -1.60541 0.36 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6500.vcf.Tajima.D" -1.55428 0.35 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6600.vcf.Tajima.D" -1.58181 0.34 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6700.vcf.Tajima.D" -1.63378 0.33 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6800.vcf.Tajima.D" -1.621 0.32 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6900.vcf.Tajima.D" -1.56209 0.31 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_6900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_700.vcf.Tajima.D" -1.44724 0.93 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7000.vcf.Tajima.D" -1.56602 0.3 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7100.vcf.Tajima.D" -1.66265 0.29 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7200.vcf.Tajima.D" -1.60524 0.28 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7300.vcf.Tajima.D" -1.56804 0.27 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7400.vcf.Tajima.D" -1.61389 0.26 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7500.vcf.Tajima.D" -1.60433 0.25 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7500.vcf" NA
