"filename" "tajima_d" "missing_data" "missing_type" "vcf_source" "max_pi_vcftools"
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3400.vcf.Tajima.D" -1.13032 0.66 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3500.vcf.Tajima.D" -1.23008 0.65 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3600.vcf.Tajima.D" -1.18538 0.64 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3700.vcf.Tajima.D" -1.29785 0.63 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3800.vcf.Tajima.D" -1.2912 0.62 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3900.vcf.Tajima.D" -1.18143 0.61 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_3900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_400.vcf.Tajima.D" -1.19114 0.96 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4000.vcf.Tajima.D" -1.22127 0.6 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4100.vcf.Tajima.D" -1.13971 0.59 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4200.vcf.Tajima.D" -1.19595 0.58 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4300.vcf.Tajima.D" -1.20292 0.57 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4400.vcf.Tajima.D" -1.17685 0.56 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4500.vcf.Tajima.D" -1.16676 0.55 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4600.vcf.Tajima.D" -1.19595 0.54 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4700.vcf.Tajima.D" -1.22697 0.53 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4800.vcf.Tajima.D" -1.18876 0.52 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4900.vcf.Tajima.D" -1.16348 0.51 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_4900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_500.vcf.Tajima.D" -1.05475 0.95 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5000.vcf.Tajima.D" -1.2158 0.5 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5100.vcf.Tajima.D" -1.27351 0.49 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5200.vcf.Tajima.D" -1.17732 0.48 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5300.vcf.Tajima.D" -1.16766 0.47 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5400.vcf.Tajima.D" -1.20054 0.46 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5500.vcf.Tajima.D" -1.1737 0.45 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5600.vcf.Tajima.D" -1.21483 0.44 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5700.vcf.Tajima.D" -1.2132 0.43 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5800.vcf.Tajima.D" -1.19199 0.42 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5900.vcf.Tajima.D" -1.20914 0.41 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_5900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_600.vcf.Tajima.D" -1.05728 0.94 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6000.vcf.Tajima.D" -1.22989 0.4 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6100.vcf.Tajima.D" -1.2062 0.39 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6200.vcf.Tajima.D" -1.2477 0.38 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6300.vcf.Tajima.D" -1.21918 0.37 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6400.vcf.Tajima.D" -1.18454 0.36 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6500.vcf.Tajima.D" -1.22662 0.35 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6600.vcf.Tajima.D" -1.1709 0.34 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6700.vcf.Tajima.D" -1.23609 0.33 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6800.vcf.Tajima.D" -1.25038 0.32 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6900.vcf.Tajima.D" -1.17451 0.31 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_6900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_700.vcf.Tajima.D" -1.32932 0.93 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7000.vcf.Tajima.D" -1.23316 0.3 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7100.vcf.Tajima.D" -1.21891 0.29 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7200.vcf.Tajima.D" -1.22545 0.28 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7300.vcf.Tajima.D" -1.24227 0.27 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7400.vcf.Tajima.D" -1.28734 0.26 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7500.vcf.Tajima.D" -1.20008 0.25 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7600.vcf.Tajima.D" -1.20217 0.24 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7700.vcf.Tajima.D" -1.20884 0.23 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7800.vcf.Tajima.D" -1.25072 0.22 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7900.vcf.Tajima.D" -1.27511 0.21 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_7900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_800.vcf.Tajima.D" -1.36263 0.92 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8000.vcf.Tajima.D" -1.22259 0.2 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8100.vcf.Tajima.D" -1.23902 0.19 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8200.vcf.Tajima.D" -1.24911 0.18 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8300.vcf.Tajima.D" -1.24944 0.17 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8400.vcf.Tajima.D" -1.22866 0.16 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8500.vcf.Tajima.D" -1.24961 0.15 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8600.vcf.Tajima.D" -1.22438 0.14 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8700.vcf.Tajima.D" -1.18873 0.13 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8800.vcf.Tajima.D" -1.22716 0.12 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8900.vcf.Tajima.D" -1.20415 0.11 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_8900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_900.vcf.Tajima.D" -1.63888 0.91 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9000.vcf.Tajima.D" -1.23743 0.1 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9100.vcf.Tajima.D" -1.2327 0.09 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9200.vcf.Tajima.D" -1.17934 0.08 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9300.vcf.Tajima.D" -1.24288 0.07 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9400.vcf.Tajima.D" -1.22125 0.06 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9500.vcf.Tajima.D" -1.21766 0.05 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9600.vcf.Tajima.D" -1.23734 0.04 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9700.vcf.Tajima.D" -1.22556 0.03 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9800.vcf.Tajima.D" -1.22301 0.02 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9900.vcf.Tajima.D" -1.21454 0.01 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_55_invar.missing_9900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_100.vcf.Tajima.D" -1.67198 0.99 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1000.vcf.Tajima.D" -1.83759 0.9 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_10000.vcf.Tajima.D" -1.86559 0 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_10000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1100.vcf.Tajima.D" -1.87136 0.89 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1200.vcf.Tajima.D" -1.80633 0.88 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1300.vcf.Tajima.D" -1.87116 0.87 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1400.vcf.Tajima.D" -1.88249 0.86 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1500.vcf.Tajima.D" -1.73576 0.85 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1600.vcf.Tajima.D" -1.84474 0.84 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1700.vcf.Tajima.D" -1.72393 0.83 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1800.vcf.Tajima.D" -1.78426 0.82 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1900.vcf.Tajima.D" -1.97275 0.81 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_1900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_200.vcf.Tajima.D" -1.93207 0.98 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2000.vcf.Tajima.D" -1.81293 0.8 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2100.vcf.Tajima.D" -1.81804 0.79 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2200.vcf.Tajima.D" -1.87008 0.78 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2300.vcf.Tajima.D" -1.93968 0.77 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2400.vcf.Tajima.D" -1.9012 0.76 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2500.vcf.Tajima.D" -1.86385 0.75 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2600.vcf.Tajima.D" -1.93973 0.74 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2700.vcf.Tajima.D" -1.81757 0.73 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2800.vcf.Tajima.D" -1.86755 0.72 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2900.vcf.Tajima.D" -1.87987 0.71 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_2900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_300.vcf.Tajima.D" -1.80656 0.97 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3000.vcf.Tajima.D" -1.91722 0.7 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3100.vcf.Tajima.D" -1.9248 0.69 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3200.vcf.Tajima.D" -1.9105 0.68 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3300.vcf.Tajima.D" -1.80251 0.67 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3400.vcf.Tajima.D" -1.82875 0.66 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3500.vcf.Tajima.D" -1.87168 0.65 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_56_invar.missing_3500.vcf" NA
