sample_id,ena_analysis
AB0227-Cx,ERZ1695481
AB0228-C,ERZ1695482
AB0229-C,ERZ1695483
AB0230-Cx,ERZ1695484
AB0231-C,ERZ1695485
AB0232-Cx,ERZ1695486
AB0233-C,ERZ1695487
AB0234-C,ERZ1695488
AB0235-C,ERZ1695489
AB0236-Cx,ERZ1695490
AB0237-C,ERZ1695491
AB0238-C,ERZ1695492
AB0239-C,ERZ1695493
AB0240-C,ERZ1695494
AB0241-C,ERZ1695495
AB0242-C,ERZ1695496
AB0243-C,ERZ1695497
AB0244-C,ERZ1695498
AB0246-C,ERZ1695499
AB0247-C,ERZ1695500
AB0248-C,ERZ1695501
AB0249-Cx,ERZ1695502
AB0250-Cx,ERZ1695503
AB0251-C,ERZ1695504
AB0252-C,ERZ1695505
AB0253-C,ERZ1695506
AB0255-C,ERZ1695507
AB0256-C,ERZ1695508
AB0257-C,ERZ1695509
AB0258-Cx,ERZ1695510
AB0259-Cx,ERZ1695511
AB0260-C,ERZ1695512
AB0261-Cx,ERZ1695513
AB0262-Cx,ERZ1695514
AB0263-C,ERZ1695515
AB0264-C,ERZ1695516
AB0265-C,ERZ1695517
AB0266-Cx,ERZ1695518
AB0267-C,ERZ1695519
AB0268-C,ERZ1695520
AB0269-Cx,ERZ1695521
AB0270-C,ERZ1695522
AB0271-Cx,ERZ1695523
AB0272-Cx,ERZ1695524
AB0273-Cx,ERZ1695525
AB0274-C,ERZ1695526
AB0275-C,ERZ1695527
AB0276-C,ERZ1695528
AB0277-C,ERZ1695529
AB0278-C,ERZ1695530
AB0279-C,ERZ1695531
AB0280-Cx,ERZ1695532
AB0281-Cx,ERZ1695533
AB0282-Cx,ERZ1695534
AB0283-C,ERZ1695535
AB0284-C,ERZ1695536
AB0326-C,ERZ1695537
AB0327-C,ERZ1695538
AB0328-C,ERZ1695539
AB0329-C,ERZ1695540
AB0330-C,ERZ1695541
AB0331-C,ERZ1695542
AB0332-C,ERZ1695543
AB0333-C,ERZ1695544
AB0334-C,ERZ1695545
AB0337-C,ERZ1695546
AB0338-C,ERZ1695547
AB0339-C,ERZ1695548
AB0340-C,ERZ1695549
AB0341-C,ERZ1695550
AB0348-C,ERZ1695551
AB0351-C,ERZ1695552
AB0352-C,ERZ1695553
AB0354-C,ERZ1695554
AB0355-C,ERZ1695555
AB0356-C,ERZ1695556
AB0357-C,ERZ1695557
AB0358-C,ERZ1695558
AB0359-C,ERZ1695559
AB0360-C,ERZ1695560
AB0361-C,ERZ1695561
AB0362-C,ERZ1695562
AB0363-C,ERZ1695563
AB0364-C,ERZ1695564
AB0365-C,ERZ1695565
AB0366-C,ERZ1695566
AB0367-C,ERZ1695567
AB0368-C,ERZ1695568
AB0369-C,ERZ1695569
AB0370-C,ERZ1695570
AB0371-C,ERZ1695571
AB0372-C,ERZ1695572
AB0373-C,ERZ1695573
AB0374-C,ERZ1695574
AB0375-C,ERZ1695575
AB0378-C,ERZ1695576
AB0379-C,ERZ1695577
AB0381-C,ERZ1695578
AB0386-C,ERZ1695579
AB0388-C,ERZ1695580
AB0389-C,ERZ1695581
AB0396-C,ERZ1695582
AB0397-C,ERZ1695583
AB0398-C,ERZ1695584
AB0399-C,ERZ1695585
AB0400-C,ERZ1695586
AB0403-C,ERZ1695587
AB0404-C,ERZ1695588
AB0408-C,ERZ1695589
AB0409-C,ERZ1695590
AB0410-C,ERZ1695591
AB0411-C,ERZ1695592
AB0413-C,ERZ1695593
AB0432-C,ERZ1695594
AB0433-C,ERZ1695595
AB0435-C,ERZ1695596
AB0436-C,ERZ1695597
AB0439-C,ERZ1695598
AB0440-C,ERZ1695599
AB0457-C,ERZ1695600
AB0458-C,ERZ1695601
AB0459-C,ERZ1695602
AB0460-C,ERZ1695603
AB0462-C,ERZ1695604
AB0463-C,ERZ1695605
AB0465-C,ERZ1695606
AB0466-C,ERZ1695607
AB0467-C,ERZ1695608
AB0468-C,ERZ1695609
AB0469-C,ERZ1695610
AB0470-C,ERZ1695611
AB0471-C,ERZ1695612
AB0472-C,ERZ1695613
AB0473-C,ERZ1695614
AB0474-C,ERZ1695615
AB0477-C,ERZ1695616
AB0502-C,ERZ1695617
AB0503-C,ERZ1695618
AB0504-C,ERZ1695619
AB0505-C,ERZ1695620
AB0508-C,ERZ1695621
AB0509-C,ERZ1695622
AB0510-C,ERZ1695623
AB0517-C,ERZ1695624
AB0523-C,ERZ1695625
AB0524-C,ERZ1695626
AB0525-C,ERZ1695627
AB0526-C,ERZ1695628
AB0527-C,ERZ1695629
AB0528-C,ERZ1695630
AB0529-C,ERZ1695631
AB0530-C,ERZ1695632
AB0531-C,ERZ1695633
AB0532-C,ERZ1695634
AB0533-C,ERZ1695635
AB0536-C,ERZ1695636
AB0537-C,ERZ1695637
AB0538-C,ERZ1695638
AB0298-C,ERZ1695639
AB0299-C,ERZ1695640
AB0301-C,ERZ1695641
AB0302-C,ERZ1695642
AB0303-C,ERZ1695643
AB0309-C,ERZ1695644
AB0312-C,ERZ1695645
AB0313-C,ERZ1695646
AB0314-C,ERZ1695647
AB0315-C,ERZ1695648
AB0316-C,ERZ1695649
AB0318-C,ERZ1695650
AB0325-C,ERZ1695651
BP0001-C,ERZ1695652
BP0002-C,ERZ1695653
BP0003-C,ERZ1695654
BP0004-C,ERZ1695655
BP0006-C,ERZ1695656
BP0007-C,ERZ1695657
BP0008-C,ERZ1695658
BP0009-C,ERZ1695659
BP0010-C,ERZ1695660
BP0011-C,ERZ1695661
BP0012-C,ERZ1695662
BP0013-C,ERZ1695663
BP0015-C,ERZ1695664
BP0016-C,ERZ1695665
BP0017-C,ERZ1695666
